id,book_id,member_id,copy_code,loan_date,date_returned,status
,7888,1,Z000603,9/4/2018,9/19/2018,1
,7888,1,ABC11536,9/4/2018,9/19/2018,1
,3740,2,MEI4026,2/25/2016,3/10/2016,1
,4856,2,B023718  ,3/8/2016,3/15/2016,1
,4856,2,B023694  ,4/25/2016,5/2/2016,1
,4856,2,B023690  ,4/25/2016,5/2/2016,1
,8781,2,OKT004769,3/3/2016,3/10/2016,1
,16944,2,B023708  ,4/25/2016,5/2/2016,1
,17185,2,A1897,3/3/2016,3/10/2016,1
,3033,3,F16.388,10/31/2017,11/7/2017,1
,3652,3,093APR17AM,8/6/2019,8/13/2019,1
,6566,3,N15.996,2/1/2017,2/8/2017,1
,6566,3,N15.996,2/8/2017,2/15/2017,1
,6566,3,N15.996,10/25/2017,11/1/2017,1
,7655,3,M16.209,2/1/2017,2/8/2017,1
,11736,3,2201,8/6/2019,8/13/2019,1
,14193,3,S020900,9/11/2017,9/18/2017,1
,19966,3,207NOV17AH,8/6/2019,8/13/2019,1
,20026,3,B020862,10/31/2017,11/7/2017,1
,24075,3,A3056,8/6/2019,8/13/2019,1
,30043,3,B021654,9/11/2017,9/25/2017,1
,3059,4,JU.507,9/24/2018,10/8/2018,1
,13147,4,JU.498,8/26/2019,9/8/2019,1
,13939,4,A16.353,8/27/2018,9/10/2018,1
,14440,4,F16.664,10/24/2018,10/31/2018,1
,14449,4,1AB3374,10/24/2018,10/31/2018,1
,20758,4,MRT0103,12/4/2017,12/11/2017,1
,26399,4,168MAR17AH,8/26/2019,9/8/2019,1
,44,5,MRT1899,2/25/2019,3/4/2019,1
,44,5,D15.135,3/28/2019,4/11/2019,1
,44,5,D15.135,4/18/2019,5/3/2019,1
,44,5,MEI2575,5/11/2019,5/27/2019,1
,2424,5,MEI4042,10/14/2019,10/28/2019,1
,3427,5,103HDA19H,10/14/2019,10/28/2019,1
,3690,5,N15.917,9/30/2019,10/14/2019,1
,3690,5,D15.581,11/5/2019,11/19/2019,0
,3740,5,172JAN17AS,10/28/2019,11/4/2019,1
,3763,5,179HD19M,11/5/2019,11/19/2019,0
,4856,5,BRC0225,2/25/2019,3/4/2019,1
,4856,5,OKT003134,3/12/2019,3/19/2019,1
,4856,5,B023711,3/12/2019,3/19/2019,1
,4856,5,BRC0225,3/28/2019,4/11/2019,1
,4856,5,BRC0225,4/18/2019,5/3/2019,1
,4856,5,BRC0225,5/11/2019,5/27/2019,1
,6867,5,363PEB17AS,11/5/2019,11/19/2019,1
,8660,5,A151PB19M,10/28/2019,11/4/2019,1
,8845,5,081FEB17AH,9/30/2019,10/14/2019,1
,10717,5,201JUL17AH,5/11/2019,5/27/2019,1
,11851,5,184MEI17AH,10/28/2019,11/4/2019,1
,12221,5,093JUL17AH,4/18/2019,5/3/2019,1
,12392,5,040AGU17AH,9/30/2019,10/14/2019,1
,6309,6,609MAR17AM,11/15/2018,11/28/2018,1
,6309,6,609MAR17AM,1/28/2019,2/4/2019,1
,6497,6,485MAR17AH,11/15/2018,11/22/2018,1
,17219,6,B021219,11/2/2018,11/9/2018,1
,19702,6,MEI2776,11/8/2018,11/15/2018,1
,19925,6,MEI3921,11/2/2018,11/15/2018,1
,19963,6,MRT1138,11/2/2018,11/15/2018,1
,19972,6,MEI.419,1/28/2019,2/4/2019,1
,30,7,MEI.911,7/10/2018,7/24/2018,1
,30,7,OKT002526,7/10/2018,7/24/2018,1
,3510,7,MRT0496,5/30/2017,6/6/2017,1
,3720,7,OKT000503,5/30/2017,6/6/2017,1
,5973,7,a4262,3/28/2016,4/4/2016,1
,7566,7,1AB2610,10/31/2016,11/7/2016,1
,8803,7,1AB1874,10/31/2016,11/7/2016,1
,11429,7,MEI3733,12/18/2017,12/26/2017,1
,11875,7,N15.826,12/4/2017,12/11/2017,1
,12403,7,OKT000666,12/18/2017,12/26/2017,1
,12897,7,JU.915,12/4/2017,12/11/2017,1
,16061,7,OKT002910,10/31/2016,11/7/2016,1
,19158,7,OKT003277,7/10/2018,7/24/2018,1
,30,8,A132PB19M,9/12/2019,9/26/2019,1
,5203,8,163PBA19H,10/17/2019,10/24/2019,1
,10884,8,okt000932,9/25/2019,10/2/2019,1
,11808,8,260PBM19H,10/14/2019,10/21/2019,1
,16592,8,A4611,10/14/2019,10/21/2019,1
,42,9,mrt1007,11/4/2019,11/11/2019,1
,10478,9,285hdf19,11/4/2019,11/11/2019,1
,12149,9,1AB2443,11/5/2019,11/12/2019,1
,3720,10,MRT0250,3/14/2017,3/27/2017,1
,3720,10,OKT001003,3/14/2017,3/27/2017,1
,11728,10,10733,3/14/2017,3/27/2017,1
,7583,11,MRT0929,3/11/2016,3/18/2016,1
,7261,12,n15.249,8/28/2019,9/4/2019,1
,19000,12,s021002,8/28/2019,9/4/2019,1
,3236,13,D15.349,12/21/2016,12/30/2016,1
,3727,13,MRT0226,9/15/2016,9/28/2016,1
,3727,13,NOV00354,11/7/2016,11/14/2016,1
,4076,13,OKT003997,11/18/2016,12/2/2016,1
,4076,13,OKT002476,12/2/2016,12/16/2016,1
,7092,13,N15.428,12/21/2016,12/30/2016,1
,12896,13,J16.837,9/15/2016,9/28/2016,1
,13356,13,OKT002296,11/7/2016,11/14/2016,1
,15205,13,MRT0483,3/16/2016,3/31/2016,1
,15205,13,MRT0483,9/15/2016,9/28/2016,1
,19962,13,Z004537,3/31/2016,4/7/2016,1
,19979,13,D15.250,3/16/2016,3/31/2016,1
,19979,13,OKT000650,11/7/2016,11/14/2016,1
,3739,14,393MAR17AM,10/2/2018,10/9/2018,1
,4930,14,187agu17ah,10/2/2018,10/9/2018,1
,11542,14,MRT0403,9/14/2018,9/21/2018,1
,15228,14,BRC1179,2/26/2019,3/5/2019,1
,16613,14,MEI4591,9/14/2018,9/21/2018,1
,17474,14,Z000507,2/26/2019,3/5/2019,1
,18,15,133PB19M,10/25/2019,11/1/2019,1
,18,15,J16.974,11/1/2019,11/8/2019,1
,18,15,85PBA19H,10/25/2019,11/8/2019,1
,30,15,OKT001147,9/10/2018,9/17/2018,1
,2115,15,A3102,11/4/2019,11/11/2019,1
,4568,15,A163PB19M,11/1/2019,11/8/2019,1
,4568,15,A16.706,11/11/2019,11/18/2019,1
,4826,15,162HDF19,11/11/2019,11/18/2019,1
,4855,15,216HD19M,9/12/2019,9/25/2019,1
,4855,15,216HD19M,10/21/2019,10/28/2019,1
,4855,15,511FEB17AH,11/4/2019,11/11/2019,1
,10328,15,OKT004962,11/11/2019,11/18/2019,1
,12062,15,127PBM19H,10/15/2019,10/22/2019,1
,12062,15,128PBM19H,10/21/2019,11/4/2019,1
,14467,15,1AB3470,9/12/2018,9/19/2018,1
,14787,15,MEI2553,9/21/2018,9/28/2018,1
,14787,15,MEI2553,10/5/2018,10/12/2018,1
,14787,15,MEI2553,4/11/2019,4/18/2019,1
,15105,15,JU.285,11/4/2019,11/11/2019,1
,15163,15,446NOVAH,4/11/2019,4/18/2019,1
,15163,15,446NOVAH,9/12/2019,9/25/2019,1
,15163,15,446NOVAH,10/9/2019,10/16/2019,1
,15163,15,F16.098,10/21/2019,10/28/2019,1
,18824,15,72PBA19H,10/15/2019,10/22/2019,1
,27994,15,D15.957,9/21/2018,9/28/2018,1
,27994,15,D15.957,10/5/2018,10/12/2018,1
,27994,15,OKT002266,4/11/2019,4/18/2019,1
,27994,15,MEI3356,9/12/2019,9/25/2019,1
,27994,15,OKT002266,10/9/2019,10/16/2019,1
,3263,16,305PEB17AS,11/14/2018,11/22/2018,1
,13872,16,OKT004232,11/22/2018,11/29/2018,1
,22,17,A2386,12/22/2017,12/29/2017,1
,5142,17,CBA5186,12/22/2017,12/29/2017,1
,5142,17,CBA5186,1/8/2018,1/23/2018,1
,7725,17,J16.667,12/22/2017,12/29/2017,1
,8258,17,056mar17as,1/8/2018,1/23/2018,1
,10612,17,BRC1235,12/22/2017,12/29/2017,1
